,
competition,type
International Friendly,International - Other
Chinese Super League,Club - Domestic League
AFC Champions League,Club - Continental Competition
FIFA World Cup Qualification - AFC,International - Other
AFC Cup,Club - Continental Competition
Hong Kong Premier League,Club - Domestic League
Sapling Cup,Club - Domestic Cup
HKFA League Cup,Club - Domestic Cup
Hong Kong FA Cup,Club - Domestic Cup
China League One,Club - Domestic League
HKFA Senior Shield,Club - Domestic Cup
EAFF E-1 Football Championship Qualification,International - Other
FA Cup,Club - Domestic Cup
EFL Championship,Club - Domestic League
Premier League,Club - Domestic League
EFL Cup,Club - Domestic Cup
FIFA World Cup Qualification - UEFA,International - Other
League of Ireland Premier Division,Club - Domestic League
UEFA Europa League,Club - Continental Competition
UEFA Champions League,Club - Continental Competition
AFC Asian Cup Qualification,International - Other
AFC Champions League Qualification,Club - Continental Competition
Serie A,Club - Domestic League
UEFA Nations League,International - Major Tournament
UEFA European Championship,International - Major Tournament
EFL League One,Club - Domestic League
Major League Soccer,Club - Domestic League
CONMEBOL Copa América,International - Major Tournament
Leagues Cup,Club - Continental Competition
CONCACAF Champions Cup,Club - Continental Competition
FIFA Club World Cup,Club - Continental Competition
FIFA World Cup,International - Major Tournament
